product,rating,rating count,price,product url
"Delta Children MySize Kids Wood Table and Chair Set (2 Chairs Included) - Ideal for Arts & Crafts, Snack Time, Homeschooling, Homework & More - Greenguard Gold Certified, Bianca White  ",4.6 out of 5 stars,"1,508  ",64.99,https://amazon.com/Delta-Children-MySize-Chairs-Included/dp/B076MGX5S5/ref=sr_1_52?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-52
"Iceberg IndestrucTable TOO 1200 Series, Personal Folding Table, Indoor/Outdoor, Commercial Grade, Charcoal, 20” W x 30”  ",4.7 out of 5 stars,"12,434  ",33.84,https://amazon.com/Iceberg-65491-Indestructible-Personal-Charcoal/dp/B018245UXC/ref=sr_1_53?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-53
"Avanti Botanic Birds Table Cloth, 60 by 104-Inch, Ivory  ",5.0 out of 5 stars,1  ,39.14,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MTM3NDQ0NjQ5NTA2OTAwOjE2NjQ5NjA1MDQ6c3BfYnRmOjIwMDA2MzQxNzg4ODg5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FAvanti-Botanic-Birds-Table-104-Inch%2Fdp%2FB00L5EBGRQ%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dtable%26qid%3D1664960504%26qu%3DeyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%253D%253D%26sr%3D8-60-spons%26psc%3D1
"Kate and Laurel Celia Round Metal Foldable Tray Accent Table, Black with Gold Base  ",4.6 out of 5 stars,"2,625  ",69.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1NDE1ODA0MjQ1NzAzNzU6MTY2NDk2MDUxMDpzcF9hdGZfbmV4dDoyMDAwOTYyNDA2MTM5NzE6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FKate-Laurel-Celia-Foldable-Accent%2Fdp%2FB06XH8ZZ45%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dtable%26qid%3D1664960510%26qu%3DeyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%253D%253D%26sr%3D8-49-spons%26psc%3D1
"Decor Therapy Emerson 23"" End Storage Drawer Accent Table, Walnut  ",3.7 out of 5 stars,7  ,131.28,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1NDE1ODA0MjQ1NzAzNzU6MTY2NDk2MDUxMDpzcF9hdGZfbmV4dDoyMDAwODA0MjY1MTcxOTg6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FDecor-Therapy-Emerson-Storage-Drawer%2Fdp%2FB09ZWQ8F18%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dtable%26qid%3D1664960510%26qu%3DeyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%253D%253D%26sr%3D8-50-spons%26psc%3D1
"Christopher Knight Home Oxbow Side Table, Grey + Light Walnut  ",3.0 out of 5 stars,1  ,99.39,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1NDE1ODA0MjQ1NzAzNzU6MTY2NDk2MDUxMDpzcF9hdGZfbmV4dDoyMDAwNzY2OTg0OTc4NDE6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FChristopher-Knight-Home-Oxbow-Walnut%2Fdp%2FB08YQNDHNY%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dtable%26qid%3D1664960510%26qu%3DeyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%253D%253D%26sr%3D8-51-spons%26psc%3D1
"Decor Therapy Hadley 23"" Side Storage Drawer Accent Table, Walnut  ",4.7 out of 5 stars,12  ,114.8,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1NDE1ODA0MjQ1NzAzNzU6MTY2NDk2MDUxMDpzcF9hdGZfbmV4dDoyMDAwODA0MjY1MTc1OTg6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FDecor-Therapy-Hadley-Storage-Drawer%2Fdp%2FB0B4BMXHLR%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dtable%26qid%3D1664960510%26qu%3DeyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%253D%253D%26sr%3D8-52-spons%26psc%3D1
"Furinno Simplistic A Frame Computer Desk, Black/French Oak Grey  ",4.1 out of 5 stars,"23,408  ",38.21,https://amazon.com/Furinno-14054BK-GYW-Simplistic-Computer/dp/B00OR1KPL2/ref=sr_1_55?keywords=table&qid=1664960510&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-55
"VASAGLE 31.5-Inch Computer Writing Desk, Home Office Small Study Workstation, Industrial Style PC Laptop Table, Steel Frame, 31.5 inch, Rustic Brown + Black  ",4.5 out of 5 stars,89  ,47.78,https://amazon.com/VASAGLE-31-5-Inch-Workstation-Industrial-ULWD038B01/dp/B091GW9VXD/ref=sr_1_59?keywords=table&qid=1664960510&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-59
"Household Essentials Square Wooden Side Table/End Table With Storage Shelf, Ashwood  ",4.5 out of 5 stars,"1,033  ",58.76,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1NDE1ODA0MjQ1NzAzNzU6MTY2NDk2MDUxMDpzcF9tdGY6MjAwMDkwODYxNDk5OTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FHousehold-Essentials-8077-1-Storage-Ashwood%2Fdp%2FB01FXOLK60%2Fref%3Dsr_1_61_sspa%3Fkeywords%3Dtable%26qid%3D1664960510%26qu%3DeyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%253D%253D%26sr%3D8-61-spons%26psc%3D1
