product,rating,rating count,price,product url
Jack Wolfskin Women's Crystal Palace Jacket W  ,4.6 out of 5 stars,79  ,249.95,https://amazon.com/sspa/click?ie=UTF8&spc=MTozMjIxNzcxOTI1NjU5NzI1OjE2NjQ5NTgzNjY6c3BfbXRmOjIwMDA2ODQxNjA5NzkzMTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FJack-Wolfskin-Womens-Crystal-Palace%2Fdp%2FB087D4M2C2%2Fref%3Dsr_1_30_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958366%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-30-spons%26psc%3D1
Arctix Women's Solstice Insulated Jacket  ,4.7 out of 5 stars,64  ,66.36,https://amazon.com/sspa/click?ie=UTF8&spc=MTozMjIxNzcxOTI1NjU5NzI1OjE2NjQ5NTgzNjY6c3BfbXRmOjIwMDA0NTU1OTYzNjE3MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FArctix-Womens-Solstice-Insulated-Jacket%2Fdp%2FB07L48W937%2Fref%3Dsr_1_31_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958366%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-31-spons%26psc%3D1
Arctix Women's Exhibition Insulated Jacket  ,4.5 out of 5 stars,182  ,109.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTozMjIxNzcxOTI1NjU5NzI1OjE2NjQ5NTgzNjY6c3BfbXRmOjIwMDA0NTU1OTYzMTY3MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FArctix-Exhibition-Insulated-Diamond-X-Small%2Fdp%2FB082YKRW8P%2Fref%3Dsr_1_32_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958366%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-32-spons%26psc%3D1
Arctix Women's Cascade Insulated Jacket  ,3.6 out of 5 stars,44  ,57.56,https://amazon.com/sspa/click?ie=UTF8&spc=MTozMjIxNzcxOTI1NjU5NzI1OjE2NjQ5NTgzNjY6c3BfbXRmOjIwMDA0NTU1OTYyODU3MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FArctix-Womens-Cascade-Insulated-Jacket%2Fdp%2FB082YKVR3Y%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958366%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-33-spons%26psc%3D1
Levi's Men's Washed Cotton Hooded Military Jacket  ,4.6 out of 5 stars,"7,117  ",96.0,https://amazon.com/Washed-Cotton-Hooded-Military-Jacket/dp/B00JB8Q344/ref=sr_1_34?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-34
Tommy Hilfiger Men's Hooded Puffer Jacket  ,4.6 out of 5 stars,"7,805  ",250.0,https://amazon.com/Tommy-Hilfiger-Classic-Hooded-Puffer/dp/B01L0B08B8/ref=sr_1_35?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-35
Amazon Essentials Men's Lightweight Water-Resistant Packable Hooded Puffer Jacket  ,4.5 out of 5 stars,"7,078  ",41.9,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B07BN72SZ5/ref=sr_1_36?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-36
Amazon Essentials Girls and Toddlers' Heavy-Weight Hooded Puffer Jackets  ,4.8 out of 5 stars,"3,532  ",35.3,https://amazon.com/Amazon-Essentials-Heavy-Weight-Hooded-Puffer/dp/B08SXFHFJJ/ref=sr_1_38?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-38
Carhartt Men's Bartlett Jacket (Regular and Big & Tall Sizes)  ,4.8 out of 5 stars,"6,428  ",142.92,https://amazon.com/Carhartt-Bartlett-Jacket-Regular-Medium/dp/B07RY7L1QL/ref=sr_1_39?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-39
Columbia Girls' Katelyn Crest Jacket  ,4.7 out of 5 stars,"2,508  ",79.99,https://amazon.com/Columbia-Little-Katelyn-Jacket-X-Small/dp/B00HFFJD3I/ref=sr_1_41?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-41
"The Children's Place Girls' Big Kid Heavy 3 in 1 Winter Jacket, Wind Water-Resistant Shell, Fleece Inner  ",5.0 out of 5 stars,7  ,47.97,https://amazon.com/Childrens-Place-Wind-resistant-Water-resistant-Alternative/dp/B09XC3H8RX/ref=sr_1_43?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-43
Columbia Women's Switchback Sherpa Lined Jacket  ,4.6 out of 5 stars,"1,795  ",79.99,https://amazon.com/Columbia-Womens-Switchback-Sherpa-Jacket/dp/B07K8QKTVX/ref=sr_1_44?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-44
